signature,returns,anon_exec,auth_exec,search_path_pinned,references_auth_uid,ownership_check,writes,used_by_policy,used_by_trigger,used_by_cron,app_callers,edge_callers,risk
"queue_token_create_walk_in(p_business_id text, p_customer_name text, p_party_size text)",queue_tokens,false,true,true,true,true,true,false,false,false,,,LOW
queue_waiting_line(p_business_ids text[]),"TABLE(business_id text, line_position integer, party_size text, my_token_id uuid)",true,true,true,true,true,false,false,false,false,src/services/marketplace/businessService.ts,,LOW
recompute_rating_aggregates(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
"record_terms_acceptance(p_version text, p_user_agent text)",void,false,true,true,true,false,true,false,false,false,,,HIGH
renew_location_share(p_requester text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/locationService.ts,,LOW
"reply_to_rating(p_rating_id text, p_reply text)",ratings,false,true,true,true,true,true,false,false,false,src/services/marketplace/businessService.ts; src/services/marketplace/providerService.ts,,LOW
request_location_share(p_owner text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/locationService.ts,,LOW
"reschedule_appointment(p_original_id text, p_scheduled_for timestamp with time zone, p_date_label text, p_time_label text, p_notes text, p_photo_url text, p_package_id text, p_package_name text, p_package_price numeric)",appointments,false,true,true,true,true,true,false,false,false,src/services/engagement/appointmentService.ts,,LOW
reserve_catalog_item(p_item_id text),void,false,false,true,false,false,true,false,false,false,,,LOW
reserve_catalog_items(p_items jsonb),void,false,false,true,false,false,true,false,false,false,,,LOW
"reset_entity_password_via_recovery(p_kind text, p_answer text, p_new_password text)",void,false,true,true,true,true,true,false,false,false,,,LOW
resolve_admin_email(p_login_id text),text,true,true,true,false,false,true,false,false,false,src/lib/adminAuth.ts,,HIGH
"respond_location_share(p_requester text, p_approve boolean)",void,false,true,true,true,true,true,false,false,false,src/services/engagement/locationService.ts,,LOW
revoke_business_session(p_session_id uuid),void,false,true,true,true,true,true,false,false,false,src/services/marketplace/businessAccessService.ts,,LOW
revoke_live_share_recipient(p_recipient_user_id text),void,false,true,true,true,false,true,false,false,false,,,HIGH
revoke_location_share(p_requester text),void,false,true,true,true,true,true,false,false,false,,,LOW
rls_auto_enable(),event_trigger,false,true,true,false,false,false,false,false,false,,,LOW
set_admin_login_id(p_new_id text),void,false,true,true,true,false,true,false,false,false,src/services/core/adminService.ts,,HIGH
"set_business_login(p_business_id text, p_login_id text, p_password text, p_require_approval boolean, p_session_hours integer, p_enabled boolean)",void,false,true,true,true,true,true,false,false,false,src/services/marketplace/businessAccessService.ts,,LOW
set_delivery_duty(p_on_duty boolean),boolean,false,true,true,true,true,true,false,false,false,,,LOW
"set_entity_password(p_kind text, p_new_password text, p_current_password text)",void,false,true,true,true,true,true,false,false,false,,,LOW
"set_entity_recovery(p_kind text, p_question_id text, p_question_text text, p_answer text, p_current_password text)",void,false,true,true,true,true,true,false,false,false,,,LOW
"set_switch_pin(p_new_pin text, p_current_pin text)",void,false,true,true,true,false,true,false,false,false,,,HIGH
"setup_entity_password_with_recovery(p_kind text, p_new_password text, p_question_id text, p_question_text text, p_answer text)",void,false,true,true,true,true,true,false,false,false,,,LOW
"start_live_share(p_lat double precision, p_lng double precision)",text,false,true,true,true,true,true,false,false,false,src/services/engagement/emergencyService.ts,,LOW
